AREA NAME,PCT OVERWEIGHT,PCT OBESE
Elizabethtown-Lewis Central School,33%,35%
Greenport Union Free School,16%,46%
Charlotte Valley Central School District,24%,38%
Fabius-Pompey Central School,25%,31%
Hancock Central School District,11%,43%
Brentwood Union Free School,21%,32%
Salmon River Central School,21%,31%
Pulaski Central School,28%,25%
Brasher Falls Cent Sch Dist,23%,29%
Ellenville Central School,27%,23%
